epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,4118.71,0.91208,0.48767,0.89317,0.93537,0.85709,0.93726,0.73615,0.79614,0.42223,0.87633,0.0041095,0.0041095,0.0041095
121,4152.79,0.91076,0.48831,0.89172,0.93482,0.85502,0.93808,0.73774,0.79447,0.42115,0.87624,0.00406,0.00406,0.00406
122,4186.24,0.89728,0.48056,0.88845,0.93821,0.85433,0.93731,0.73747,0.7872,0.41942,0.87471,0.0040105,0.0040105,0.0040105
123,4220.47,0.90335,0.48279,0.89195,0.93904,0.85481,0.9375,0.73936,0.78393,0.41729,0.87334,0.003961,0.003961,0.003961
124,4254.59,0.90184,0.48261,0.89228,0.93867,0.85696,0.9367,0.73936,0.78542,0.41859,0.87445,0.0039115,0.0039115,0.0039115
125,4288.45,0.90458,0.48342,0.89348,0.93668,0.85702,0.93735,0.73998,0.78249,0.41798,0.8745,0.003862,0.003862,0.003862
126,4322.51,0.89647,0.48122,0.88917,0.93723,0.85413,0.93752,0.741,0.78073,0.41536,0.87353,0.0038125,0.0038125,0.0038125
127,4356.67,0.89879,0.47925,0.88635,0.93929,0.85661,0.93805,0.74308,0.77703,0.4134,0.87324,0.003763,0.003763,0.003763
128,4390.12,0.89905,0.48206,0.89248,0.93452,0.85812,0.93862,0.74467,0.77641,0.41289,0.87243,0.0037135,0.0037135,0.0037135
129,4424.16,0.8887,0.4773,0.88774,0.93912,0.85597,0.93877,0.74248,0.77867,0.41225,0.87223,0.003664,0.003664,0.003664
130,4458.64,0.88891,0.47752,0.8896,0.93906,0.85709,0.93769,0.74365,0.7768,0.41148,0.87241,0.0036145,0.0036145,0.0036145
131,4493.17,0.89118,0.47718,0.88941,0.93547,0.86121,0.93882,0.74509,0.77488,0.41051,0.8722,0.003565,0.003565,0.003565
132,4527.67,0.89027,0.47594,0.88672,0.9347,0.86005,0.9385,0.74337,0.78149,0.41219,0.8717,0.0035155,0.0035155,0.0035155
133,4562.49,0.88642,0.47639,0.88664,0.93833,0.86194,0.93982,0.74399,0.77822,0.41074,0.87143,0.003466,0.003466,0.003466
134,4596.53,0.89044,0.4772,0.88707,0.93989,0.85955,0.93939,0.74405,0.77603,0.41013,0.87146,0.0034165,0.0034165,0.0034165
135,4630.95,0.88383,0.47467,0.88689,0.9387,0.8596,0.94041,0.74569,0.77503,0.41014,0.87164,0.003367,0.003367,0.003367
136,4664.75,0.88911,0.4754,0.88819,0.94027,0.86005,0.94073,0.74721,0.77259,0.40909,0.87103,0.0033175,0.0033175,0.0033175
137,4698.88,0.88531,0.47429,0.88695,0.93777,0.86211,0.94133,0.74733,0.77405,0.40935,0.87156,0.003268,0.003268,0.003268
138,4733.1,0.87819,0.47167,0.884,0.93883,0.86082,0.94057,0.74739,0.77305,0.40879,0.87061,0.0032185,0.0032185,0.0032185
139,4766.42,0.87935,0.46981,0.88473,0.93314,0.86258,0.94082,0.74761,0.76936,0.40723,0.87021,0.003169,0.003169,0.003169
